Entity,Code,Year,"GDP, PPP (constant 2017 international $)",Annual CO₂ emissions,Annual consumption-based CO₂ emissions
Angola,AGO,2020,2.00822E+11,20275732,
Angola,AGO,2021,,21362716,
Anguilla,AIA,1990,,51296,
Anguilla,AIA,1991,,51296,
Anguilla,AIA,1992,,54960,
Anguilla,AIA,1993,,65952,
Anguilla,AIA,1994,,65952,
Anguilla,AIA,1995,,65952,
Anguilla,AIA,1996,,69616,
Anguilla,AIA,1997,,69616,
Anguilla,AIA,1998,,76944,
Anguilla,AIA,1999,,80608,
Anguilla,AIA,2000,,87936,
Anguilla,AIA,2001,,95264,
Anguilla,AIA,2002,,95264,
Anguilla,AIA,2003,,102592,
Anguilla,AIA,2004,,120912,
Anguilla,AIA,2005,,128240.01,
Anguilla,AIA,2006,,142896,
Anguilla,AIA,2007,,150224,
Anguilla,AIA,2008,,150224,
Anguilla,AIA,2009,,146560,
Anguilla,AIA,2010,,150224,
Anguilla,AIA,2011,,142896,
Anguilla,AIA,2012,,142896,
Anguilla,AIA,2013,,117248,
Anguilla,AIA,2014,,139232,
Anguilla,AIA,2015,,153888,
Anguilla,AIA,2016,,153888,
Anguilla,AIA,2017,,142896,
Anguilla,AIA,2018,,142896,
Anguilla,AIA,2019,,153888,
Anguilla,AIA,2020,,131390,
Anguilla,AIA,2021,,144744,
Antarctica,ATA,1990,,10992,
Antarctica,ATA,1991,,14656,
Antarctica,ATA,1992,,14656,
Antarctica,ATA,1993,,14656,
Antarctica,ATA,1994,,14656,
Antarctica,ATA,1995,,3664,
Antarctica,ATA,1996,,3664,
Antarctica,ATA,1997,,3664,
Antarctica,ATA,1998,,3664,
Antarctica,ATA,1999,,3664,
Antarctica,ATA,2000,,3664,
Antarctica,ATA,2001,,3664,
Antarctica,ATA,2002,,3664,
Antarctica,ATA,2003,,3664,
Antarctica,ATA,2004,,7328,
Antarctica,ATA,2005,,7328,
Antarctica,ATA,2006,,7328,
Antarctica,ATA,2007,,10992,
Antigua and Barbuda,ATG,1990,966678464,219840,
Antigua and Barbuda,ATG,1991,987718976,212512,
Antigua and Barbuda,ATG,1992,999161472,208848,
Antigua and Barbuda,ATG,1993,1051915968,216176,
Antigua and Barbuda,ATG,1994,1122149376,216176,
Antigua and Barbuda,ATG,1995,1073228224,223504,
Antigua and Barbuda,ATG,1996,1144109184,238160,
Antigua and Barbuda,ATG,1997,1206710400,256480.02,
Antigua and Barbuda,ATG,1998,1263801344,271136,
Antigua and Barbuda,ATG,1999,1310658304,282128,
Antigua and Barbuda,ATG,2000,1391964032,293120,
Antigua and Barbuda,ATG,2001,1328657408,296784,
Antigua and Barbuda,ATG,2002,1342308608,329760,
Antigua and Barbuda,ATG,2003,1423874560,351744,
Antigua and Barbuda,ATG,2004,1505989888,366400,
Antigua and Barbuda,ATG,2005,1603485056,373728,
Antigua and Barbuda,ATG,2006,1807258368,384720,
Antigua and Barbuda,ATG,2007,1975611392,406704,
Antigua and Barbuda,ATG,2008,1975328128,417696,
Antigua and Barbuda,ATG,2009,1739025536,443344,
Antigua and Barbuda,ATG,2010,1602675584,454336,
Antigua and Barbuda,ATG,2011,1571285376,443344,
Antigua and Barbuda,ATG,2012,1624282752,458000,
Antigua and Barbuda,ATG,2013,1614522880,461664,
Antigua and Barbuda,ATG,2014,1675805696,461664,
Antigua and Barbuda,ATG,2015,1739910272,479984,
Antigua and Barbuda,ATG,2016,1835543680,490976,
Antigua and Barbuda,ATG,2017,1893259136,490976,
Antigua and Barbuda,ATG,2018,2023584256,498304,
Antigua and Barbuda,ATG,2019,2121975680,498304,
Antigua and Barbuda,ATG,2020,1693498496,425453,
Antigua and Barbuda,ATG,2021,,468695,
Argentina,ARG,1990,4.61383E+11,112079090,112044580
Argentina,ARG,1991,5.03522E+11,117505740,120502100
Argentina,ARG,1992,5.43488E+11,121230584,127743170
Argentina,ARG,1993,5.88092E+11,117777490,123145110
Argentina,ARG,1994,6.22414E+11,122229000,126951150
Argentina,ARG,1995,6.04705E+11,127764860,129745176
Argentina,ARG,1996,6.38125E+11,134762060,136557180
Argentina,ARG,1997,6.89884E+11,137641470,143492820
Argentina,ARG,1998,7.16445E+11,139451890,146743020
Argentina,ARG,1999,6.9219E+11,147285120,148986500
Argentina,ARG,2000,6.86729E+11,142358350,141089120
Argentina,ARG,2001,6.56452E+11,134003940,129713864
Argentina,ARG,2002,5.84935E+11,124392350,82175600
Argentina,ARG,2003,6.36626E+11,134631000,112728910
Argentina,ARG,2004,6.94111E+11,157043400,133273010
Argentina,ARG,2005,7.55551E+11,161434200,140506460
Argentina,ARG,2006,8.16351E+11,174609000,151026320
Argentina,ARG,2007,8.89885E+11,174245760,156506800
Argentina,ARG,2008,9.2599E+11,188106000,173303070
Argentina,ARG,2009,8.71185E+11,178949200,158286100
Argentina,ARG,2010,9.59396E+11,186733140,172448210
Argentina,ARG,2011,1.017E+12,190273780,190216060
Argentina,ARG,2012,1.00656E+12,191292110,189813420
Argentina,ARG,2013,1.03077E+12,189537740,198615630
Argentina,ARG,2014,1.00487E+12,188396530,185372220
Argentina,ARG,2015,1.03232E+12,191743840,200070900
Argentina,ARG,2016,1.01084E+12,189920430,187345970
Argentina,ARG,2017,1.03933E+12,186898880,191066130
Argentina,ARG,2018,1.01213E+12,180599330,176232000
Argentina,ARG,2019,9.91622E+11,178511620,167254960
Argentina,ARG,2020,8.93498E+11,169262690,159198300
Argentina,ARG,2021,,186448290,
Armenia,ARM,1990,18327906304,8944920,5985806
Armenia,ARM,1991,16183541760,7271964,4522629.5
Armenia,ARM,1992,9418820608,5862939,3683096.2
Armenia,ARM,1993,8589964288,2575039,1842036
Armenia,ARM,1994,9053822976,2713342,1791470.8
Armenia,ARM,1995,9678536704,3433180,2727772.5
Armenia,ARM,1996,10246221824,2595440,2852630.8
Armenia,ARM,1997,10586506240,3269238,4070800.2
Armenia,ARM,1998,11359321088,3397212,4003479.8
Armenia,ARM,1999,11734178816,3049535,5161483.5
Armenia,ARM,2000,12426496000,3491407,4251238.5
Armenia,ARM,2001,13619439616,3532701,4449497
Armenia,ARM,2002,15417205760,3076793,4407487
Armenia,ARM,2003,17575614464,3455560,3959993.8
Armenia,ARM,2004,19421052928,3691197,4256572.5
Armenia,ARM,2005,22120579072,4376169,5834965.5
Armenia,ARM,2006,25040496640,4401590,5092761
Armenia,ARM,2007,28471044096,5100210,10276848
Armenia,ARM,2008,30435547136,5574790,6566680.5
Armenia,ARM,2009,26144135168,4363332,5934142
Armenia,ARM,2010,26719305728,4252750,5286858.5
Armenia,ARM,2011,27975112704,4968878,5271416.5
Armenia,ARM,2012,29989320704,5748252,6525782
Armenia,ARM,2013,30978969600,5535004,6051638
Armenia,ARM,2014,32094212096,5604113,5822008.5
Armenia,ARM,2015,33121226752,5469323,5885083
Armenia,ARM,2016,33187469312,5203013,5519933
Armenia,ARM,2017,35676528640,5540153,5793567
Armenia,ARM,2018,37531709440,5825786,7102917.5
Armenia,ARM,2019,40384118784,6284110,6940204
Armenia,ARM,2020,37395693568,6430661,7257872.5
Armenia,ARM,2021,,6806045,
Aruba,ABW,1990,2301801472,487312,
Aruba,ABW,1991,2485090816,531280,
Aruba,ABW,1992,2631272704,538608,
Aruba,ABW,1993,2823558144,648528,
Aruba,ABW,1994,3055200000,659520,
Aruba,ABW,1995,3133020416,707152,
Aruba,ABW,1996,3170171392,725472,
Aruba,ABW,1997,3393569280,758448,
Aruba,ABW,1998,3461168640,806080,
Aruba,ABW,1999,3504019456,809744,
Aruba,ABW,2000,3770906112,2377936,
Aruba,ABW,2001,3658862848,2407248,
Aruba,ABW,2002,3539084544,2436560,
Aruba,ABW,2003,3609000960,2561136,
Aruba,ABW,2004,3894529280,2616096,
Aruba,ABW,2005,3941822464,2718688,
Aruba,ABW,2006,3983235584,2715024,
Aruba,ABW,2007,4054942720,2821280,
Aruba,ABW,2008,4051264768,2656400,
Aruba,ABW,2009,3625081856,2627088,
Aruba,ABW,2010,3491496448,2506176,
Aruba,ABW,2011,3611815424,2498848,
Aruba,ABW,2012,3562338560,1348352,
Aruba,ABW,2013,3711893760,861040,
Aruba,ABW,2014,3723029248,872032,
Aruba,ABW,2015,3935241984,897680,
Aruba,ABW,2016,4017882112,883024,
Aruba,ABW,2017,4098239744,890352,
Aruba,ABW,2018,,872032,
Aruba,ABW,2019,,912336,
Aruba,ABW,2020,,778954,
Aruba,ABW,2021,,858126,
Asia,,1990,,6611224600,6555928600
Asia,,1991,,7414699000,6723021000
Asia,,1992,,7256959500,7248036000
Asia,,1993,,7589249500,7485799000
Asia,,1994,,7920648000,7637147600
Asia,,1995,,8241792000,7993495600
Asia,,1996,,8573007400,8238948000
Asia,,1997,,8687990000,8245477000
Asia,,1998,,8419528700,7792209400
Asia,,1999,,8880381000,8291998700
Asia,,2000,,9300388000,8645264000
Asia,,2001,,9465591000,8736340000
Asia,,2002,,10011790000,9198774000
Asia,,2003,,10993457000,9974757000
Asia,,2004,,11682397000,10555306000
Asia,,2005,,12525343000,11173949000
Asia,,2006,,13367103000,11845757000
Asia,,2007,,14076976000,12578493000
Asia,,2008,,14820116000,13291325000
Asia,,2009,,15368629000,13937541000
Asia,,2010,,16536730000,14947890000
Asia,,2011,,17752203000,16173784000
Asia,,2012,,18466894000,17019531000
Asia,,2013,,18720993000,17239149000
Asia,,2014,,19068563000,17569047000
Asia,,2015,,19206867000,17861304000
Asia,,2016,,19303905000,17909850000
Asia,,2017,,19839646000,18390080000
Asia,,2018,,20437713000,19077648000
Asia,,2019,,20894499000,19520543000
Asia,,2020,,20689746000,19240954000
Asia,,2021,,21688988000,
Asia (GCP),,1990,,5768071000,5965904400
Asia (GCP),,1991,,6006437400,6051702300
Asia (GCP),,1992,,6238993400,6478381000
Asia (GCP),,1993,,6486570000,6677811700
Asia (GCP),,1994,,6776300500,6815714000
Asia (GCP),,1995,,7140051500,7173683700
Asia (GCP),,1996,,7454534000,7440307700
Asia (GCP),,1997,,7588902000,7466599000
Asia (GCP),,1998,,7277012000,6950362600
Asia (GCP),,1999,,7644816400,7522729000
Asia (GCP),,2000,,7939630600,7856164400
Asia (GCP),,2001,,8085398000,7950935600
Asia (GCP),,2002,,8613880000,8391660000
Asia (GCP),,2003,,9504542000,8968440000
Asia (GCP),,2004,,10062971000,9447066000
Asia (GCP),,2005,,10841543000,10000504000
Asia (GCP),,2006,,11565791000,10530219000
Asia (GCP),,2007,,12280654000,11132607000
Asia (GCP),,2008,,12882225000,11759295000
Asia (GCP),,2009,,13342880000,12344210000
Asia (GCP),,2010,,14411795000,13327059000
Asia (GCP),,2011,,15572503000,14538643000
Asia (GCP),,2012,,16129148000,15219709000
Asia (GCP),,2013,,16429337000,15499726000
Asia (GCP),,2014,,16662784000,15725441000
Asia (GCP),,2015,,16690501000,15777105000
Asia (GCP),,2016,,16780690000,15922271000
Asia (GCP),,2017,,17204828000,16414612000
Asia (GCP),,2018,,17819185000,17146869000
Asia (GCP),,2019,,18275269000,17573933000
Asia (GCP),,2020,,18072386000,17262207000
Asia (GCP),,2021,,18970907000,
Asia (excl. China and India),,1990,,3548373200,3659639600
Asia (excl. China and India),,1991,,4193237500,3725364000
Asia (excl. China and India),,1992,,3870724400,4024287000
Asia (excl. China and India),,1993,,3990298600,4075818500
Asia (excl. China and India),,1994,,4104377300,4204078800
Asia (excl. China and India),,1995,,4122433800,4281885700
Asia (excl. China and India),,1996,,4244572700,4348220400
Asia (excl. China and India),,1997,,4318886000,4386342000
Asia (excl. China and India),,1998,,4182121200,4014789000
Asia (excl. China and India),,1999,,4376588000,4221705500
Asia (excl. China and India),,2000,,4677820000,4483387000
Asia (excl. China and India),,2001,,4750128000,4470494000
Asia (excl. China and India),,2002,,4877156400,4612572700
Asia (excl. China and India),,2003,,5107286500,4926639000
Asia (excl. China and India),,2004,,5334124500,5198413300
Asia (excl. China and India),,2005,,5463860700,5363453400
Asia (excl. China and India),,2006,,5619656000,5562125300
Asia (excl. China and India),,2007,,5741412000,5763455000
Asia (excl. China and India),,2008,,5861766000,5960213500
Asia (excl. China and India),,2009,,5870681000,5686976500
Asia (excl. China and India),,2010,,6243581400,6029776400
Asia (excl. China and India),,2011,,6445176300,6390991400
Asia (excl. China and India),,2012,,6725019600,6694871600
Asia (excl. China and India),,2013,,6727270000,6691129000
Asia (excl. China and India),,2014,,6882599400,6751699500
Asia (excl. China and India),,2015,,7069196300,6860141000
Asia (excl. China and India),,2016,,7155110400,6827989000
Asia (excl. China and India),,2017,,7393669600,6950812000
Asia (excl. China and India),,2018,,7483390000,7019357700
Asia (excl. China and India),,2019,,7527042000,7093859300
Asia (excl. China and India),,2020,,7288521000,6930672000
Asia (excl. China and India),,2021,,7506934300,
Australia,AUS,1990,5.29298E+11,278154140,243167980
Australia,AUS,1991,5.27207E+11,279528500,243847980
Australia,AUS,1992,5.29389E+11,284525380,246449310
Australia,AUS,1993,5.50742E+11,288870560,247403250
Australia,AUS,1994,5.72664E+11,293696580,255788460
Australia,AUS,1995,5.94619E+11,305002980,261403620
Australia,AUS,1996,6.17538E+11,311886140,267775700
Australia,AUS,1997,6.41673E+11,320282620,275318850
Australia,AUS,1998,6.7128E+11,334076000,294483620
Australia,AUS,1999,7.04419E+11,343488640,295426720
Australia,AUS,2000,7.31979E+11,349635500,290192670
Australia,AUS,2001,7.46899E+11,357132350,298885340
Australia,AUS,2002,7.76883E+11,361540800,317546370
Australia,AUS,2003,8.01047E+11,369279520,334737340
Australia,AUS,2004,8.34734E+11,382820900,344537630
Australia,AUS,2005,8.61115E+11,386153540,343942620
Australia,AUS,2006,8.84596E+11,392384320,356321020
Australia,AUS,2007,9.17932E+11,399624830,368228900
Australia,AUS,2008,9.50767E+11,404233060,363853380
Australia,AUS,2009,9.68516E+11,407065000,394753440
Australia,AUS,2010,9.89556E+11,405103330,395884160
Australia,AUS,2011,1.014E+12,403828770,394285570
Australia,AUS,2012,1.05372E+12,406150900,401866500
Australia,AUS,2013,1.08112E+12,397887460,380554240
Australia,AUS,2014,1.10882E+12,393952900,381514270
Australia,AUS,2015,1.13291E+12,401793060,382345500
Australia,AUS,2016,1.16397E+12,411264300,372424500
Australia,AUS,2017,1.19069E+12,414358300,377934900
Australia,AUS,2018,1.22488E+12,416283800,365442460
Australia,AUS,2019,1.25076E+12,416356600,362850940
Australia,AUS,2020,1.25071E+12,399922100,354534340
Australia,AUS,2021,,391187420,
Austria,AUT,1990,2.87878E+11,62145250,89299940
Austria,AUT,1991,2.97785E+11,65743936,91018710
Austria,AUT,1992,3.0402E+11,60243908,93073230
Austria,AUT,1993,3.05621E+11,60670572,89067176
Austria,AUT,1994,3.12962E+11,61045756,88724670
Austria,AUT,1995,3.21312E+11,64023070,92772130
Austria,AUT,1996,3.28862E+11,67367016,100735970
Austria,AUT,1997,3.35747E+11,67263590,94848510
Austria,AUT,1998,3.47771E+11,66898316,98281790
Austria,AUT,1999,3.60139E+11,65651040,96557040
Austria,AUT,2000,3.72296E+11,66149780,91797464
Austria,AUT,2001,3.77014E+11,70149500,96438090
Austria,AUT,2002,3.83241E+11,71953620,95010040
Austria,AUT,2003,3.86849E+11,77460984,100983370
Austria,AUT,2004,3.97429E+11,77678290,104723770
Austria,AUT,2005,4.06348E+11,79078110,106787400
Austria,AUT,2006,4.20383E+11,76806460,110086750
Austria,AUT,2007,4.36053E+11,74106780,105599210
Austria,AUT,2008,4.42421E+11,73481910,103654450
Austria,AUT,2009,4.25766E+11,67298660,95269300
Austria,AUT,2010,4.33588E+11,72006410,101242680
Austria,AUT,2011,4.4626E+11,69893110,103162550
Austria,AUT,2012,4.49297E+11,67265900,99625224
Austria,AUT,2013,4.49412E+11,67759450,94885000
Austria,AUT,2014,4.52383E+11,64160004,95765850
Austria,AUT,2015,4.56973E+11,66348824,89201770
Austria,AUT,2016,4.66064E+11,67210744,92686760
Austria,AUT,2017,4.7659E+11,69592824,92002424
Austria,AUT,2018,4.88513E+11,66557184,91356856
Austria,AUT,2019,4.95798E+11,67936184,89354400
Austria,AUT,2020,4.62408E+11,62037450,81224240
Austria,AUT,2021,,64625588,
Azerbaijan,AZE,1990,54652854272,51325840,27912318
Azerbaijan,AZE,1991,54270283776,49957050,21209296
Azerbaijan,AZE,1992,42005200896,56174400,12908418
Azerbaijan,AZE,1993,32302000128,48406096,23817206
Azerbaijan,AZE,1994,25938505728,41943904,18738966
Azerbaijan,AZE,1995,22877761536,33309350,23125498
Azerbaijan,AZE,1996,23175172096,31242310,28240826
Azerbaijan,AZE,1997,24519331840,29802216,25556036
Azerbaijan,AZE,1998,26971265024,31665754,30063322
Azerbaijan,AZE,1999,28967139328,28569828,26667096
Azerbaijan,AZE,2000,32182491136,29506320,23636350
Azerbaijan,AZE,2001,35368558592,28791316,25483250
Azerbaijan,AZE,2002,38706966528,29640750,30978054
Azerbaijan,AZE,2003,42658291712,30623566,34192500
Azerbaijan,AZE,2004,46605803520,32077060,40505596
Azerbaijan,AZE,2005,59637501952,34286420,35416884
Azerbaijan,AZE,2006,80212443136,39108580,40011824
Azerbaijan,AZE,2007,1.00266E+11,30459078,30829510
Azerbaijan,AZE,2008,1.11053E+11,35449750,35414710
Azerbaijan,AZE,2009,1.21377E+11,31856400,32293190
Azerbaijan,AZE,2010,1.27505E+11,30632888,30814554
Azerbaijan,AZE,2011,1.27633E+11,32975696,32381462
Azerbaijan,AZE,2012,1.30396E+11,32773342,35786220
Azerbaijan,AZE,2013,1.37972E+11,33555216,36527260
Azerbaijan,AZE,2014,1.41767E+11,34348428,37416384
Azerbaijan,AZE,2015,1.43318E+11,34682944,37247908
Azerbaijan,AZE,2016,1.38875E+11,34727332,35718988
Azerbaijan,AZE,2017,1.39153E+11,34607040,34368544
Azerbaijan,AZE,2018,1.4124E+11,34575816,35448170
Azerbaijan,AZE,2019,1.44771E+11,37737892,38036056
Azerbaijan,AZE,2020,1.38546E+11,37508016,39140270
Azerbaijan,AZE,2021,,38492804,
Bahamas,BHS,1990,9773561856,2022527.9,
Bahamas,BHS,1991,9364852736,1996880,
Bahamas,BHS,1992,9006593024,1868640,
Bahamas,BHS,1993,9034315776,1744064,
Bahamas,BHS,1994,9318798336,1769712,
